,index,l,m,ans_r,err_r,ans_i,err_i
0,0,0,0,0.16021994642515167,1.5025298739346173e-07,0.0,0.0
1,0,1,0,-0.11171536005407423,6.604769756432347e-08,0.0,0.0
2,1,1,1,-0.17932090203560758,4.8098723015157245e-08,-0.27349011106708065,4.26307667274844e-08
3,0,2,0,0.264298555024982,7.95651484592572e-08,0.0,0.0
4,1,2,1,-0.06191007772943656,1.4896123118213233e-08,0.11527447810465635,1.9979230650185495e-08
5,2,2,2,-0.08310355252309255,1.9449805548176476e-08,0.04766330722176114,1.4898631327646818e-08
6,0,3,0,0.035232823482455766,8.961083614014636e-08,0.0,0.0
7,1,3,1,-0.019710657114465097,1.4886608299110919e-08,-0.018959358452664946,1.489842424655831e-08
8,2,3,2,-0.011616537959786349,1.4892586027740276e-08,-0.00038718628683466233,1.4898839617774581e-08
9,3,3,3,-0.0014635462207043667,1.4895206893692814e-08,0.0037623426239107166,1.4898894379462815e-08
10,0,4,0,0.05670929229069797,2.0463790299783826e-08,0.0,0.0
11,1,4,1,0.058521929380267346,1.489990798019732e-08,-0.009950879512382554,1.4897112760699217e-08
12,2,4,2,0.0004576354650998023,1.4899702600867725e-08,0.005057605149516264,1.4882286543435943e-08
13,3,4,3,-0.00035180185314526185,1.4851713969402233e-08,0.005513510585955787,1.4899695057949666e-08
14,4,4,4,-1.2546295581633549e-05,1.4888056768944608e-08,0.0006479008439615406,1.487037194658851e-08
15,0,5,0,0.25320792017389027,6.05583739839865e-08,0.0,0.0
16,1,5,1,0.0015268139569427413,1.4875928686157284e-08,0.009405365011479386,1.48842153415469e-08
17,2,5,2,0.000986318125636526,1.4899144070443432e-08,-0.006425041276800888,1.488596231653469e-08
18,3,5,3,-0.0002986653146314909,1.4897363564653134e-08,-0.0005987499112433228,1.4867942750400175e-08
19,4,5,4,0.00012615691708865202,1.4627817267650806e-08,-0.00031458421545269054,1.4858303897195615e-08
20,5,5,5,-1.1499017857036192e-05,1.4710473811433872e-08,-6.876735293944983e-05,1.4779595304134529e-08
21,0,6,0,-0.014609195283455348,5.142320700575456e-08,0.0,0.0
22,1,6,1,-0.026954222765193627,1.4893214530470293e-08,-0.004246928574671502,1.4898649333800144e-08
23,2,6,2,0.0021564283335700272,1.4892125328753528e-08,-0.001678546683564893,1.4883568541496243e-08
24,3,6,3,-0.00040491714033426615,1.484850107133053e-08,-0.0004819913884088232,1.4878758559755191e-08
25,4,6,4,-4.227934961438346e-05,1.4231281082684912e-08,6.582393101411744e-05,1.4670659324327665e-08
26,5,6,5,-3.510564622931159e-05,1.4301930543213851e-08,2.4623072698484464e-05,1.4871735625500077e-08
27,6,6,6,-5.54046834686026e-06,1.464217729832949e-08,-5.336358277210225e-06,1.4841717367427772e-08
28,0,7,0,-0.10724589613619988,5.767401035780656e-08,0.0,0.0
29,1,7,1,0.005295675802745366,1.4899665625032464e-08,-0.0010052638121171185,1.489555420754206e-08
30,2,7,2,0.0001942700216801953,1.4889570874356455e-08,0.0021851324295009207,1.4873199456948986e-08
31,3,7,3,0.00020589325513553405,1.4808450028976362e-08,-1.939001212522567e-05,1.4837988190540592e-08
32,4,7,4,3.2301259818088554e-05,1.4892611264167059e-08,1.9593363279431507e-05,1.4896387857362703e-08
33,5,7,5,7.492041460735113e-06,1.4700728178588784e-08,-7.791095704122831e-06,1.3404089819293105e-08
34,6,7,6,1.1335682772796696e-06,1.482094463740564e-08,2.986226725428736e-06,1.476703377856833e-08
35,7,7,7,-5.366151484634828e-07,1.4853163461886606e-08,2.1073430058054367e-07,1.4762229084486819e-08
36,0,8,0,0.007127417152857965,2.081441195912202e-08,0.0,0.0
37,1,8,1,0.004651518052471327,1.4899042239027897e-08,0.0028920533967745016,1.4885244607599159e-08
38,2,8,2,-0.000869074103667671,1.481811858728066e-08,0.0002946212238455992,1.4899620610517156e-08
39,3,8,3,1.5827707321624797e-05,1.4786037196818274e-08,-8.686384757446589e-05,1.4278663295231865e-08
40,4,8,4,-1.0925691813164609e-05,9.623045078843028e-09,-1.6633361455998892e-05,1.3222881604301227e-08
41,5,8,5,2.061299288936962e-06,1.4012806880206853e-08,-6.03275892759099e-07,1.4803429138324872e-08
42,6,8,6,8.36484876720557e-08,1.4622662719705078e-08,-3.4189551367195943e-07,1.4623929103573144e-08
43,7,8,7,1.551389760415426e-07,1.47480295658828e-08,-2.5679788232377898e-08,1.489813418680032e-08
44,8,8,8,2.452771800511324e-08,1.4297622414791919e-08,2.6642375236725868e-08,9.819640891965328e-09
45,0,9,0,-0.02966407318349843,2.338393764355967e-08,0.0,0.0
46,1,9,1,-0.0028739060008011806,1.4851677166129317e-08,0.00027649447203777986,1.4859743064211809e-08
47,2,9,2,0.00024473511940308014,1.4878859947928258e-08,-0.00019365905695738932,1.4891763896678742e-08
48,3,9,3,-1.733249683137673e-05,1.4845547437531055e-08,5.211326959504363e-05,1.474062493733315e-08
49,4,9,4,-5.394977977509779e-06,1.3598818407820017e-08,4.691145617135059e-06,1.4263497451679111e-08
50,5,9,5,-3.5139948749485886e-08,1.4140929632099106e-08,1.251188316790439e-06,1.4206281559764974e-08
51,6,9,6,-1.56347146041179e-07,1.436381917389257e-08,-2.5640950260152664e-07,1.4883717322939472e-08
52,7,9,7,-2.3232563634252173e-08,1.4701739076757796e-08,2.2326509806061083e-09,1.4668388840349823e-08
53,8,9,8,-6.190223941772435e-09,9.946632845656497e-09,-4.915254140622595e-10,1.253452662592156e-08
54,9,9,9,1.0899864933004107e-09,3.527973634280009e-09,1.2626787014175547e-09,3.5498083283330495e-09
55,0,10,0,-0.0018187478358499725,2.140528222626753e-08,0.0,0.0
56,1,10,1,0.0022048027238137408,1.4876445848575024e-08,-0.0003963988607924783,1.4897697062367583e-08
57,2,10,2,0.00012682067235217305,1.4895975018465284e-08,7.353754551048915e-05,1.4856835142473346e-08
58,3,10,3,2.1707161135484507e-05,1.4624910244573754e-08,2.6418909809315102e-05,1.4724194320410894e-08
59,4,10,4,2.206692427138707e-06,1.443567440236039e-08,5.612100198953962e-07,1.3817218334082328e-08
60,5,10,5,-2.335779932630006e-07,1.453543400994769e-08,-7.724201243114119e-08,1.4839220694188428e-08
61,6,10,6,5.536505793188404e-08,1.4729116594948084e-08,7.327356886602069e-08,1.4885933635213513e-08
62,7,10,7,-7.365051593813925e-09,1.3896538710114072e-08,4.982263975852457e-09,1.40513001277437e-08
63,8,10,8,1.0893684370084447e-09,4.256961730454263e-09,1.1059961159126417e-09,4.609126349341164e-09
64,9,10,9,-1.1138076945977431e-10,1.236032236453227e-09,7.372164788994785e-11,9.61650737205433e-10
65,10,10,10,6.355780963105573e-11,1.915183278247662e-10,2.9538211910429734e-11,1.6363528568854445e-10
66,0,11,0,0.00902726456082013,1.4898864308534417e-08,0.0,0.0
67,1,11,1,7.246132394972922e-05,1.4881163117031186e-08,-0.0013085762233516665,1.4893874225059933e-08
